Designator,Mid X,Mid Y,Rotation,Layer
C1,41.500000,37.875000,-90.000000,top
C2,31.500000,37.875000,-90.000000,top
C3,20.100000,28.725000,90.000000,top
C4,27.100000,18.525000,90.000000,top
C5,24.700000,27.475000,90.000000,top
C6,27.700000,21.925000,0.000000,top
C7,28.250000,18.525000,90.000000,top
C8,27.725000,23.100000,0.000000,top
C9,17.150000,19.950000,-90.000000,top
C10,27.700000,26.725000,0.000000,top
C11,17.150000,23.750000,-90.000000,top
C12,27.725000,25.500000,0.000000,top
C13,27.725000,24.300000,0.000000,top
C14,21.300000,28.725000,90.000000,top
C15,17.700000,29.725000,0.000000,top
C16,31.200000,17.445000,90.000000,top
C17,37.225000,18.250000,-90.000000,top
J1,22.800000,37.525000,180.000000,top
R1,29.000000,33.200000,90.000000,top
R2,16.700000,33.200000,90.000000,top
R3,22.350000,30.725000,-90.000000,top
R4,23.550000,30.725000,90.000000,top
R5,14.500000,22.335000,90.000000,top
R6,29.900000,17.425000,-90.000000,top
U1,36.500000,34.025000,-90.000000,top
U2,22.250000,21.725000,0.000000,top
U3,10.950000,27.775000,0.000000,top
Y1,34.500000,17.725000,180.000000,top
